version,cve_id,base_score,base_severity,cvss_version
1.1.1f,CVE-2026-28389,7.5,HIGH,3.1
1.1.1f,CVE-2026-28390,7.5,HIGH,3.1
1.1.1f,CVE-2026-34180,7.5,HIGH,3.1
1.1.1f,CVE-2026-42766,5.9,MEDIUM,3.1
1.1.1f,CVE-2026-45447,8.8,HIGH,3.1
1.1.1f,CVE-2026-7383,8.1,HIGH,3.1
1.1.1f,CVE-2026-9076,7.5,HIGH,3.1
1.0.2j,CVE-2023-5678,5.3,MEDIUM,3.1
1.0.2j,CVE-2024-0727,5.5,MEDIUM,3.1
1.0.2j,CVE-2025-68160,4.7,MEDIUM,3.1
1.0.2j,CVE-2025-69421,7.5,HIGH,3.1
1.0.2j,CVE-2026-22796,5.3,MEDIUM,3.1
1.0.2j,CVE-2026-28388,7.5,HIGH,3.1
1.0.2j,CVE-2026-28389,7.5,HIGH,3.1
1.0.2j,CVE-2026-28390,7.5,HIGH,3.1
1.0.2j,CVE-2026-34180,7.5,HIGH,3.1
1.0.2j,CVE-2026-42766,5.9,MEDIUM,3.1
1.0.2j,CVE-2026-45447,8.8,HIGH,3.1
1.0.2j,CVE-2026-7383,8.1,HIGH,3.1
1.0.2j,CVE-2026-9076,7.5,HIGH,3.1
3.5.2,CVE-2025-68160,4.7,MEDIUM,3.1
3.5.2,CVE-2025-69418,4.0,MEDIUM,3.1
3.5.2,CVE-2025-69419,7.4,HIGH,3.1
3.5.2,CVE-2025-69420,7.5,HIGH,3.1
3.5.2,CVE-2025-69421,7.5,HIGH,3.1
3.5.2,CVE-2026-22795,5.5,MEDIUM,3.1
3.5.2,CVE-2026-22796,5.3,MEDIUM,3.1
3.5.2,CVE-2026-28387,8.1,HIGH,3.1
3.5.2,CVE-2026-28388,7.5,HIGH,3.1
3.5.2,CVE-2026-28389,7.5,HIGH,3.1
3.5.2,CVE-2026-28390,7.5,HIGH,3.1
3.5.2,CVE-2026-34180,7.5,HIGH,3.1
3.5.2,CVE-2026-42766,5.9,MEDIUM,3.1
3.5.2,CVE-2026-45447,8.8,HIGH,3.1
3.5.2,CVE-2026-7383,8.1,HIGH,3.1
3.5.2,CVE-2026-9076,7.5,HIGH,3.1
1.1.1zb,CVE-2025-68160,4.7,MEDIUM,3.1
1.1.1zb,CVE-2025-69418,4.0,MEDIUM,3.1
1.1.1zb,CVE-2025-69419,7.4,HIGH,3.1
1.1.1zb,CVE-2025-69420,7.5,HIGH,3.1
1.1.1zb,CVE-2025-69421,7.5,HIGH,3.1
1.1.1zb,CVE-2026-22795,5.5,MEDIUM,3.1
1.1.1zb,CVE-2026-22796,5.3,MEDIUM,3.1
1.1.1zb,CVE-2026-28387,8.1,HIGH,3.1
1.1.1zb,CVE-2026-28388,7.5,HIGH,3.1
1.1.1zb,CVE-2026-28389,7.5,HIGH,3.1
1.1.1zb,CVE-2026-28390,7.5,HIGH,3.1
1.1.1zb,CVE-2026-34180,7.5,HIGH,3.1
1.1.1zb,CVE-2026-42766,5.9,MEDIUM,3.1
1.1.1zb,CVE-2026-45447,8.8,HIGH,3.1
1.1.1zb,CVE-2026-7383,8.1,HIGH,3.1
1.1.1zb,CVE-2026-9076,7.5,HIGH,3.1
3.1.1,CVE-2023-4807,7.8,HIGH,3.1
3.1.1,CVE-2023-5678,5.3,MEDIUM,3.1
3.1.1,CVE-2024-0727,5.5,MEDIUM,3.1
